Site ID,Location,Number of private cycles,Number of cycle hire bikes,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
INNCY200,Atlantic Road,616.0,4.5,620.5,531325.7831,175231.2398,51.46082968,-0.111034879,POINT (-0.1110348792049243 51.46082968097048),E01003052,Lambeth 016C,11,,,,,,,15,36,,,,,48,,,,,,,,,,1,,,,,,,,,,,,,,,,9,,,,,,,,5,,,,,,,,,,,,3,,4,4,,5,14,,,,,,,,,60,,,16,,,1,,,,,,14,,,,5,58,,0,,,5.0,,10.0,,,,5.0,,,,,,
INNCY201,Brockley Road,239.0,0.0,239.0,536492.6166,175848.5531,51.46515582,-0.03646936,POINT (-0.0364693595462202 51.46515582399232),E01003212,Lewisham 005D,0,,,,,,,3,5,,,,,34,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,0,,0,0,,5,1,,,,,,,,,18,,,11,,,0,,,,,,3,,,,2,20,,0,,,2.0,,13.0,1.0,,,,,,,,,
INNCY202,North End Road,533.0,51.5,584.5,524876.3644,177885.3501,51.48614062,-0.20288293,POINT (-0.2028829297338677 51.48614061788151),E01001912,Hammersmith and Fulham 015E,9,,,,,,,15,13,,,,,29,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,7,,,,,,,,,,,,1,,0,1,,4,8,,,,,,,,,39,,,13,,,2,,,,,,27,,,,5,31,,0,,,2.0,,17.0,,3.0,,3.0,,,,,,
INNCY203,Lower Richmond Road,1485.5,2.0,1487.5,523193.1599,175871.5665,51.46841117,-0.227814008,POINT (-0.2278140083221423 51.46841117180477),E01004604,Wandsworth 006A,4,,,,,,,4,3,,,,,13,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,0,,2,0,,3,1,,,,,,,,,16,,,7,,,0,,,,,,3,,,,0,12,,0,,,1.0,,19.0,,,,1.0,,,,,,
INNCY204,Bedford Hill,205.5,0.5,206.0,528767.1675,172952.0722,51.44093446,-0.148672482,POINT (-0.1486724819079656 51.44093446070071),E01004484,Wandsworth 026E,10,,,,,,,8,14,,,,,22,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,8,,,,,,,,,,,,0,,1,1,,3,1,,,,,,,,,39,,,18,,,0,,,,,,7,,,,2,23,,0,,,1.0,,10.0,,,,1.0,,,,,,
INNCY205,Exhibition Road,713.0,304.0,1017.0,526818.2824,179438.9354,51.49967083,-0.174372258,POINT (-0.1743722584821036 51.49967082835009),E01004688,Westminster 019B,6,,,,,,,9,18,,,,,40,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,,3,,9,5,,11,15,,,,,,,,,53,,,13,,,4,,,,,,10,,,,3,38,,2,,,44.0,,,,,,,,,,,,
INNCY205,Exhibition Road,713.0,304.0,1017.0,526818.2824,179438.9354,51.49967083,-0.174372258,POINT (-0.1743722584821036 51.49967082835009),E01004688,Westminster 019B,6,,,,,,,9,18,,,,,40,,,,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,,3,,9,5,,11,15,,,,,,,,,53,,,13,,,4,,,,,,9,,,,3,38,,2,,,44.0,,,,,,,,,,,,
INNCY206,Highgate West Hill,230.5,2.0,232.5,528211.0299,187202.1932,51.56912329,-0.15149445,POINT (-0.1514944504582595 51.56912328506498),E01000913,Camden 001E,4,,,,,,,1,3,,,,,28,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,0,,2,0,,1,0,,,,,,,,,10,,,11,,,0,,,,,,2,,,,0,29,,0,,,,,7.0,,,,1.0,,,,,,
INNCY207,East Acton Lane,124.5,0.0,124.5,520998.3577,180414.3462,51.5097117,-0.25784059,POINT (-0.2578405904268666 51.509711699342894),E01001242,Ealing 024C,11,,,,,,,3,2,,,,,33,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,1,,1,0,,4,2,,,,,,,,,24,,,9,,,0,,,,,,8,,,,1,29,,0,,,,,13.0,,,,2.0,,,,,,
INNCY208,South Africa Road,211.5,1.5,213.0,523190.942,180795.797,51.51266655,-0.22612906,POINT (-0.2261290596063949 51.51266655164831),E01001874,Hammersmith and Fulham 001A,5,,,,,,,3,9,,,,,20,,,,,,,,,,1,,,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,,,,,,2,,1,0,,4,4,,,,,,,,,51,,,15,,,4,,,,,,11,,,,3,29,,2,,,,,6.0,,,,1.0,,,,,,
INNCY209,Circus Road,199.5,19.5,219.0,526778.6567,183138.6664,51.53292871,-0.17361332,POINT (-0.1736133197393229 51.5329287120088),E01004647,Westminster 001A,3,,,,,,,3,2,,,,,18,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,1,,1,0,,5,2,,,,,,,,,14,,,15,,,0,,,,,,6,,,,1,29,,0,,,1.0,,9.0,,,,,,2.0,,,,
INNCY210,Barnsbury Road,1825.5,6.0,1831.5,531110.859,183608.862,51.53616566,-0.111016529,POINT (-0.1110165288422189 51.536165663097634),E01002696,Islington 020A,9,,,,,,,16,32,,,,,39,,,,,,,,,,3,,,,,,,,,,,,,,,,11,,,,,,,,5,,,,,,,,,,,,4,,2,5,,9,20,,,,,,,,,60,,,18,,,2,,,,,,15,,,,1,35,,0,,,1.0,,23.0,,,,1.0,,,,,1.0,
INNCY210,Barnsbury Road,1825.5,6.0,1831.5,531110.859,183608.862,51.53616566,-0.111016529,POINT (-0.1110165288422189 51.536165663097634),E01002696,Islington 020A,9,,,,,,,16,32,,,,,39,,,,,,,,,,3,,,,,,,,,,,,,,,,11,,,,,,,,5,,,,,,,,,,,,4,,2,5,,9,20,,,,,,,,,60,,,18,,,2,,,,,,15,,,,1,34,,0,,,1.0,,23.0,,,,1.0,,,,,1.0,
INNCY211,Campbell Road,294.0,15.0,309.0,537451.0968,182568.9094,51.5253139,-0.020064879,POINT (-0.0200648785027375 51.52531389753561),E01004267,Tower Hamlets 012D,9,,,,,,,3,0,,,,,33,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,0,,0,2,,2,1,,,,,,,,,12,,,17,,,0,,,,,,7,,,,5,35,,2,,,,,,,,,,,,,,,
INNCY212,Drayton Park,1190.5,9.0,1199.5,531454.1505,185633.4522,51.55427984,-0.10531416,POINT (-0.1053141604918427 51.55427983561308),E01033492,Islington 011I,6,,,,,,,4,9,,,,,26,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,0,,2,1,,10,10,,,,,,,,,38,,,15,,,0,,,,,,13,,,,3,15,,4,,,,,15.0,,,,,,,,,,
INNCY212,Drayton Park,1190.5,9.0,1199.5,531454.1505,185633.4522,51.55427984,-0.10531416,POINT (-0.1053141604918427 51.55427983561308),E01033492,Islington 011I,6,,,,,,,4,9,,,,,26,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,,,,,,,,0,,2,1,,10,10,,,,,,,,,38,,,15,,,0,,,,,,13,,,,3,15,,4,,,,,15.0,,,,,,,,,,
INNCY213,Wapping High Street,66.5,21.0,87.5,535126.8223,180311.5556,51.50558917,-0.054412424,POINT (-0.0544124237442499 51.50558916572471),E01004297,Tower Hamlets 027C,1,,,,,,,0,4,,,,,23,,,,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,0,,2,1,,10,8,,,,,,,,,9,,,8,,,0,,,,,,2,,,,4,30,,0,,,2.0,,5.0,,,,,,,,,,
INNCY214,Stoke Newington Church Street,1103.5,3.5,1107.0,532781.5394,186342.1894,51.56033823,-0.085912106,POINT (-0.0859121059051161 51.56033823355653),E01001806,Hackney 008D,2,,,,,,,1,4,,,,,26,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,0,,1,1,,3,2,,,,,,,,,18,,,10,,,0,,,,,,8,,,,0,27,,0,,,6.0,6.0,9.0,,,,,,,,,,
