Site ID,Location,Total cycles,Easting,Northing,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
OUTCY364,Gorringe Park Avenue,26.0,528248.479,170171.5182,51.41606342,-0.15713696,POINT (-0.1571369602961224 51.41606341539045),E01003394,Merton 007A,15,,,,,,,1,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,0,1,,3,3,,,,,,,,,13,,,8,,,2,,,,,,10,,,,1,30,,0,,,,,21.0,,,,,,,,,,
OUTCY365,Frensham Drive,33.5,521984.3515,172417.6952,51.43763174,-0.246397907,POINT (-0.2463979065049346 51.43763174084788),E01004573,Wandsworth 023D,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,0,,,0,,,0,,,,,,1,,,,0,9,,1,,,,,35.0,,,,2.0,,1.0,,1.0,2.0,
OUTCY366,North Road,43.0,513085.0943,180407.4881,51.51128756,-0.371819411,POINT (-0.3718194108735345 51.51128755771798),E01001215,Ealing 023C,11,,,,,,,11,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,2,0,,3,8,,,,,,,,,34,,,7,,,3,,,,,,6,,,,1,38,,0,,,,,23.0,,,,,,,,,,
OUTCY367,Churston Drive,30.0,523889.6532,167835.4768,51.39603714,-0.220600265,POINT (-0.2206002647570746 51.39603713937935),E01003364,Merton 021C,2,,,,,,,1,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,0,0,,2,5,,,,,,,,,0,,,3,,,0,,,,,,3,,,,0,20,,0,,,,,18.0,,,,1.0,,,,,1.0,
OUTCY368,Senlac Road,12.5,540828.0347,173169.7799,51.44002337,0.024835787,POINT (0.0248357870646402 51.44002337450168),E01003271,Lewisham 023E,1,,,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,0,,3,0,,,,,,,,,4,,,6,,,0,,,,,,0,,,,0,14,,0,,,,,11.0,,,,1.0,,,,,,
OUTCY369,Grand Union Canal (Ruislip Road),101.5,512833.166,182785.888,51.53271448,-0.374687313,POINT (-0.3746873127201517 51.53271448005476),E01032744,Ealing 010G,6,,,,,,,1,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,0,0,,2,1,,,,,,,,,9,,,4,,,0,,,,,,7,,,,0,33,,0,,,,,44.0,,,,2.0,,,,,,
OUTCY369,Grand Union Canal (Ruislip Road),101.5,512833.166,182785.888,51.53271448,-0.374687313,POINT (-0.3746873127201517 51.53271448005476),E01032744,Ealing 010G,6,,,,,,,1,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,0,0,,2,1,,,,,,,,,9,,,4,,,0,,,,,,7,,,,0,33,,0,,,,,44.0,,,,2.0,,,,,,
OUTCY370,Cowley Bridge Lock,59.0,505148.3655,182251.0004,51.52938872,-0.485594791,POINT (-0.4855947909628463 51.52938872346858),E01033724,Hillingdon 016F,1,,,,,,,1,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,0,0,,2,1,,,,,,,,,6,,,2,,,0,,,,,,3,,,,0,17,,3,,,,,,,,,,,,,,,
OUTCY371,Harrow School playing fields,7.5,516110.7432,187615.245,51.57545469,-0.325863378,POINT (-0.3258633781587826 51.57545469105247),E01002137,Harrow 029D,18,,,,,,,15,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,0,0,,0,7,,,,,,,,,17,,,9,,,0,,,,,,10,,,,3,25,,4,,,1.0,,6.0,,,,,,,,,,
OUTCY372,Grand Union Canal (Abbey Road),307.5,519658.5,183211.47,51.5351355,-0.276189117,POINT (-0.2761891168360335 51.53513549747526),E01000600,Brent 027E,13,,,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,0,1,,5,6,,,,,,,,,7,,,5,,,0,,,,,,2,,,,0,29,,0,,,,,,,,,,,,,,,
