Location,Number of private cycles,Number of cycle hire bikes,Total cycles,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
The Mall,2165.0,404.75,2569.75,51.5045039,-0.1342032,POINT (-0.1342032 51.5045039),E01004736,Westminster 018C,20,2,0,0,60,10,8,31,33,,,,,19,,,,,,,,,,1,,,,,,,,,,19,,,,,,13,,,,,0,,,0,,,,,,,,,,,,8,,9,18,,9,18,,,,,8,,,,60,,,10,,,10,,0,,,6,13,,,,4,31,,4,,0,18.0,,,,,,,,,,,,
Theobald's Road,2653.75,230.625,2884.375,51.5204618,-0.1174057,POINT (-0.1174057 51.5204618),E01000914,Camden 028B,38,1,0,1,19,17,14,15,30,,,,,40,,,,,,,,,,3,,,,,,,,,,4,,,,,,12,,,,,4,,,8,,,,,,,,,,,,6,,11,7,,13,32,,,,,2,,,,60,,,16,,,11,,0,,,5,14,,,,2,39,,9,,0,1.0,,6.0,,,,1.0,2.0,,,,,
Threadneedle Street,525.25,79.375,604.625,51.5141218,-0.0862049,POINT (-0.0862049 51.5141218),E01032739,City of London 001F,60,1,0,0,7,20,9,60,60,,,,,40,,,,,,,,,,37,,,,,,,,,,1,,,,,,30,,,,,0,,,1,,,,,,,,,,,,4,,4,9,,2,18,,,,,5,,,,20,,,12,,,12,,0,,,13,18,,,,9,53,,6,,0,4.0,,5.0,,1.0,,,,2.0,,,,
Tooley Street,2030.625,130.875,2161.5,51.5037001,-0.0807159,POINT (-0.0807159 51.5037001),E01004027,Southwark 003E,12,0,2,2,19,15,16,12,39,,,,,27,,,,,,,,,,12,,,,,,,,,,0,,,,,,14,,,,,1,,,3,,,,,,,,,,,,1,,11,2,,6,13,,,,,2,,,,60,,,5,,,3,,0,,,5,15,,,,3,37,,2,,0,3.0,,,,,,,,,,,,
Tooley Street (East),1790.666667,140.6666667,1931.333333,51.5037001,-0.0807159,POINT (-0.0807159 51.5037001),E01004027,Southwark 003E,12,0,2,2,19,15,16,12,39,,,,,27,,,,,,,,,,12,,,,,,,,,,0,,,,,,14,,,,,1,,,3,,,,,,,,,,,,1,,11,2,,6,13,,,,,2,,,,60,,,5,,,3,,0,,,5,15,,,,3,37,,2,,0,3.0,,,,,,,,,,,,
Torrington Place,1330.875,166.0,1496.875,51.5220352,-0.133655,POINT (-0.133655 51.5220352),E01000850,Camden 026A,39,1,0,1,40,12,11,26,49,,,,,38,,,,,,,,,,0,,,,,,,,,,8,,,,,,18,,,,,2,,,8,,,,,,,,,,,,7,,13,10,,7,24,,,,,3,,,,60,,,14,,,6,,1,,,8,19,,,,4,52,,14,,0,6.0,,2.0,,1.0,,2.0,,,,,,
Tottenham Court Road (N),938.25,74.75,1013.0,51.5203108,-0.1340277,POINT (-0.1340277 51.5203108),E01000850,Camden 026A,60,1,0,3,58,16,12,30,60,,,,,31,,,,,,,,,,0,,,,,,,,,,7,,,,,,17,,,,,2,,,7,,,,,,,,,,,,11,,12,16,,5,26,,,,,3,,,,60,,,13,,,8,,1,,,9,22,,,,5,38,,14,,0,29.0,1.0,6.0,1.0,,,1.0,4.0,,,,,
Tottenham Court Road (S),1248.5,122.5,1371.0,51.5203108,-0.1340277,POINT (-0.1340277 51.5203108),E01000850,Camden 026A,60,1,0,3,58,16,12,30,60,,,,,31,,,,,,,,,,0,,,,,,,,,,7,,,,,,17,,,,,2,,,7,,,,,,,,,,,,11,,12,16,,5,26,,,,,3,,,,60,,,13,,,8,,1,,,9,22,,,,5,38,,14,,0,44.0,,12.0,1.0,1.0,,1.0,5.0,,,,,
Trinity Square,209.375,42.625,252.0,51.5101115,-0.0777879,POINT (-0.0777879 51.5101115),E01032739,City of London 001F,39,0,2,0,11,17,8,53,60,,,,,38,,,,,,,,,,18,,,,,,,,,,2,,,,,,27,,,,,1,,,2,,,,,,,,,,,,2,,8,10,,8,18,,,,,1,,,,60,,,9,,,7,,0,,,10,18,,,,7,49,,4,,0,11.0,,,,,,,,,,,3.0,
Turnmill Street,132.25,11.125,143.375,51.5212462,-0.1053143,POINT (-0.1053143 51.5212462),E01002724,Islington 022D,43,1,0,0,13,18,11,16,33,,,,,40,,,,,,,,,,13,,,,,,,,,,3,,,,,,11,,,,,2,,,0,,,,,,,,,,,,0,,14,7,,10,27,,,,,0,,,,60,,,17,,,4,,0,,,8,18,,,,4,53,,11,,0,15.0,3.0,2.0,,,,1.0,,,,,,
Upper Ground,757.25,332.0,1089.25,51.5074064,-0.1099134,POINT (-0.1099134 51.5074064),E01003016,Lambeth 036C,12,1,0,1,16,7,8,7,38,,,,,29,,,,,,,,,,1,,,,,,,,,,1,,,,,,10,,,,,0,,,1,,,,,,,,,,,,7,,4,4,,3,13,,,,,0,,,,60,,,12,,,4,,0,,,6,0,,,,10,35,,2,,0,3.0,,6.0,,,,,,,,,,
Upper Thames Street (East of SB),2509.25,327.125,2836.375,51.5109611,-0.094066,POINT (-0.094066 51.5109611),E01032739,City of London 001F,50,1,1,0,9,15,18,60,59,,,,,40,,,,,,,,,,18,,,,,,,,,,1,,,,,,25,,,,,0,,,0,,,,,,,,,,,,3,,9,5,,2,9,,,,,1,,,,60,,,5,,,6,,0,,,10,20,,,,8,52,,1,,0,6.0,,9.0,,,,,4.0,,,,,
Upper Thames Street (West of SB),2141.625,277.125,2418.75,51.5109611,-0.094066,POINT (-0.094066 51.5109611),E01032739,City of London 001F,50,1,1,0,9,15,18,60,59,,,,,40,,,,,,,,,,18,,,,,,,,,,1,,,,,,25,,,,,0,,,0,,,,,,,,,,,,3,,9,5,,2,9,,,,,1,,,,60,,,5,,,6,,0,,,10,20,,,,8,52,,1,,0,,,,,,,,,,,,,
Victoria Embankment (between Derby Gate and Westminster Bridge),3255.875,508.5,3764.375,51.5008638,-0.1219645,POINT (-0.1219645 51.5008638),0,0,6,1,0,1,5,7,4,6,17,,,,,36,,,,,,,,,,2,,,,,,,,,,9,,,,,,5,,,,,2,,,2,,,,,,,,,,,,3,,7,1,,6,25,,,,,9,,,,0,,,9,,,3,,0,,,5,12,,,,5,39,,2,,0,16.0,,,,,,,,,,,,
Victoria Embankment (by Cleopatra's Needle),4088.875,494.125,4583.0,51.5085067,-0.1203086,POINT (-0.1203086 51.5085067),E01004733,Westminster 020C,29,2,0,1,32,8,18,15,60,,,,,34,,,,,,,,,,0,,,,,,,,,,12,,,,,,8,,,,,0,,,2,,,,,,,,,,,,16,,10,7,,4,16,,,,,3,,,,60,,,12,,,10,,0,,,0,12,,,,8,50,,3,,0,4.0,,9.0,,2.0,,1.0,,,,,1.0,
Victoria Street,1029.875,351.5,1381.375,51.4972967,-0.1369785,POINT (-0.1369785 51.4972967),E01004744,Westminster 020D,12,1,0,0,4,12,10,14,21,,,,,35,,,,,,,,,,6,,,,,,,,,,10,,,,,,9,,,,,0,,,4,,,,,,,,,,,,2,,6,1,,8,18,,,,,2,,,,60,,,18,,,7,,1,,,4,15,,,,3,50,,1,,0,2.0,,10.0,,,,,,,,,2.0,
Wardour Street,417.625,55.625,473.25,51.51329,-0.133872,POINT (-0.133872 51.51329),E01033596,Westminster 013F,60,1,1,3,60,22,32,56,60,,,,,31,,,,,,,,,,0,,,,,,,,,,16,,,,,,27,,,,,0,,,6,,,,,,,,,,,,26,,11,55,,11,40,,,,,3,,,,60,,,18,,,16,,1,,,7,26,,,,7,40,,8,,0,7.0,,20.0,1.0,,,2.0,,,,,,
Warner Street,327.875,47.75,375.625,51.523337,-0.1108752,POINT (-0.1108752 51.523337),E01002726,Islington 022F,39,1,0,0,18,15,9,13,28,,,,,40,,,,,,,,,,7,,,,,,,,,,4,,,,,,11,,,,,6,,,6,,,,,,,,,,,,0,,11,6,,11,24,,,,,2,,,,60,,,18,,,3,,0,,,7,16,,,,3,38,,10,,0,4.0,,1.0,,,,,,,1.0,,,
Waterloo Bridge,3113.75,391.5,3529.0,51.5085965,-0.1168523,POINT (-0.1168523 51.5085965),0,0,33,1,0,1,20,9,16,14,49,,,,,15,,,,,,,,,,1,,,,,,,,,,8,,,,,,10,,,,,0,,,2,,,,,,,,,,,,9,,9,5,,4,11,,,,,2,,,,60,,,15,,,11,,0,,,7,9,,,,8,36,,3,,0,,,,,,,,,,,,,
Waterloo Road,865.625,59.25,924.875,51.5024427,-0.110216,POINT (-0.110216 51.5024427),E01003017,Lambeth 036D,0,1,0,1,13,6,11,6,30,,,,,37,,,,,,,,,,0,,,,,,,,,,0,,,,,,11,,,,,2,,,5,,,,,,,,,,,,5,,3,3,,6,24,,,,,1,,,,60,,,15,,,4,,0,,,6,20,,,,4,46,,4,,0,,,,,,,,,,,,,
Webber Street (East),794.25,74.25,868.5,51.5009334,-0.10431,POINT (-0.10431 51.5009334),E01032583,Southwark 034D,12,0,0,0,13,16,7,7,20,,,,,50,,,,,,,,,,1,,,,,,,,,,1,,,,,,16,,,,,0,,,0,,,,,,,,,,,,3,,3,2,,9,19,,,,,2,,,,59,,,22,,,1,,0,,,7,23,,,,6,55,,5,,0,,,2.0,,,,,,,,,,
Welbeck Street,339.625,52.5,392.125,51.5171936,-0.1491749,POINT (-0.1491749 51.5171936),E01004714,Westminster 011B,60,2,0,1,60,9,13,25,40,,,,,36,,,,,,,,,,0,,,,,,,,,,17,,,,,,17,,,,,6,,,12,,,,,,,,,,,,3,,9,9,,15,0,,,,,0,,,,60,,,32,,,7,,1,,,9,12,,,,3,40,,11,,0,5.0,,19.0,1.0,,,,,,,,,
Westminster Bridge,1755.875,252.875,2021.625,51.5008638,-0.1219645,POINT (-0.1219645 51.5008638),0,0,6,1,0,1,5,7,4,6,17,,,,,36,,,,,,,,,,2,,,,,,,,,,9,,,,,,5,,,,,2,,,2,,,,,,,,,,,,3,,7,1,,6,25,,,,,9,,,,0,,,9,,,3,,0,,,5,12,,,,5,39,,2,,0,20.0,,6.0,,,,1.0,,,,,1.0,
Westminster Bridge Road,784.875,49.25,834.125,51.4997422,-0.1141971,POINT (-0.1141971 51.4997422),E01003013,Lambeth 036A,8,0,0,1,7,5,8,4,0,,,,,34,,,,,,,,,,0,,,,,,,,,,0,,,,,,5,,,,,2,,,4,,,,,,,,,,,,2,,5,0,,6,19,,,,,4,,,,60,,,14,,,2,,0,,,6,18,,,,6,38,,2,,0,7.0,1.0,2.0,,2.0,,,1.0,,,,,
Weston Street,465.25,5.0,470.25,51.5005395,-0.0851803,POINT (-0.0851803 51.5005395),E01032803,Southwark 003J,10,0,2,2,25,19,17,17,47,,,,,34,,,,,,,,,,12,,,,,,,,,,0,,,,,,10,,,,,1,,,4,,,,,,,,,,,,2,,7,1,,11,14,,,,,3,,,,60,,,15,,,2,,0,,,4,20,,,,2,49,,2,,0,10.0,2.0,19.0,,,,,,,,,,
Whitehall (south of Horse Guards Avenue),1444.5,162.125,1606.625,51.5049443,-0.1248179,POINT (-0.1248179 51.5049443),E01004736,Westminster 018C,18,2,0,1,14,8,10,13,40,,,,,33,,,,,,,,,,1,,,,,,,,,,15,,,,,,7,,,,,2,,,0,,,,,,,,,,,,12,,7,10,,7,13,,,,,9,,,,60,,,14,,,4,,0,,,7,10,,,,7,36,,2,,0,40.0,,11.0,,4.0,,1.0,5.0,,,,,
Wimpole Street,132.5,14.875,147.375,51.5179779,-0.1481473,POINT (-0.1481473 51.5179779),E01004713,Westminster 011A,60,1,0,1,51,10,14,26,36,,,,,38,,,,,,,,,,0,,,,,,,,,,16,,,,,,16,,,,,5,,,10,,,,,,,,,,,,3,,9,10,,15,33,,,,,0,,,,60,,,31,,,7,,1,,,10,13,,,,4,53,,11,,0,2.0,2.0,36.0,,,,,6.0,,,,,
Wood Street,464.125,76.75,540.875,51.5164907,-0.0940443,POINT (-0.0940443 51.5164907),E01000002,City of London 001B,58,1,0,0,9,19,7,60,60,,,,,34,,,,,,,,,,19,,,,,,,,,,1,,,,,,20,,,,,0,,,1,,,,,,,,,,,,4,,9,7,,5,19,,,,,2,,,,60,,,11,,,5,,0,,,13,23,,,,12,52,,2,,0,,,,,,,,,,,,,
York Road,687.625,113.625,801.25,51.502856,-0.1159456,POINT (-0.1159456 51.502856),E01032582,Lambeth 036E,7,0,0,1,10,6,7,7,32,,,,,38,,,,,,,,,,0,,,,,,,,,,1,,,,,,7,,,,,2,,,3,,,,,,,,,,,,6,,2,3,,6,22,,,,,3,,,,60,,,0,,,4,,0,,,8,16,,,,7,47,,2,,0,,,3.0,,,,,,,,,,
