Location,Number of private cycles,Number of cycle hire bikes,Total cycles,lat,lng,geometry,LSOA11CD,LSOA11NM,accounting,airport,amusement park,aquarium,art gallery,atm,bakery,bank,bar,beauty salon,bicycle store,book store,bowling alley,bus station,cafe,campground,car dealer,car rental,car repair,car wash,casino,cemetery,church,city hall,clothing store,convenience store,courthouse,dentist,department store,doctor,drugstore,electrician,electronics store,embassy,fire station,florist,funeral home,furniture store,gas station,gym,hair care,hardware store,hindu temple,home goods store,hospital,insurance agency,jewelry store,laundry,lawyer,library,light rail station,liquor store,local government office,locksmith,lodging,meal delivery,meal takeaway,mosque,movie rental,movie theater,moving company,museum,night club,painter,park,parking,pet store,pharmacy,physiotherapist,plumber,police,post office,primary school,real estate agency,restaurant,roofing contractor,rv park,school,secondary school,shoe store,shopping mall,spa,stadium,storage,store,subway station,supermarket,synagogue,taxi stand,tourist attraction,train station,transit station,travel agency,university,veterinary care,zoo,person,bicycle,car,motorcycle,bus,train,truck,traffic light,fire hydrant,stop sign,parking meter,bench,dog
New Cavendish Street,749.25,128.625,877.875,51.5196744,-0.14529,POINT (-0.14529 51.5196744),E01004765,Westminster 013D,60,1,0,1,40,9,12,29,38,,,,,18,,,,,,,,,,0,,,,,,,,,,13,,,,,,18,,,,,6,,,9,,,,,,,,,,,,3,,8,10,,15,32,,,,,1,,,,60,,,30,,,8,,1,,,10,13,,,,3,30,,12,,0,3.0,2.0,20.0,1.0,,,2.0,,,,,,
Newgate Street,1662.125,319.0,1981.125,51.5157004,-0.0999462,POINT (-0.0999462 51.5157004),E01032739,City of London 001F,39,0,0,0,8,15,7,38,50,,,,,19,,,,,,,,,,20,,,,,,,,,,2,,,,,,14,,,,,0,,,1,,,,,,,,,,,,1,,8,7,,7,19,,,,,1,,,,60,,,11,,,5,,0,,,9,19,,,,10,40,,5,,0,,,1.0,,,,,,,,,,
Newington Causeway,1981.0,74.75,2055.75,51.4973154,-0.0990542,POINT (-0.0990542 51.4973154),E01003927,Southwark 002A,15,0,1,0,17,22,4,10,9,,,,,29,,,,,,,,,,2,,,,,,,,,,0,,,,,,13,,,,,0,,,5,,,,,,,,,,,,0,,4,3,,15,12,,,,,1,,,,40,,,20,,,3,,0,,,4,17,,,,4,36,,5,,0,7.0,,4.0,2.0,1.0,,1.0,1.0,,,,,
Northumberland Avenue,1094.5,141.5,1236.0,51.5069825,-0.1249472,POINT (-0.1249472 51.5069825),E01004736,Westminster 018C,25,1,1,1,18,11,18,16,60,,,,,32,,,,,,,,,,0,,,,,,,,,,13,,,,,,10,,,,,0,,,0,,,,,,,,,,,,16,,9,12,,8,12,,,,,4,,,,60,,,15,,,7,,0,,,7,11,,,,7,36,,3,,0,12.0,1.0,17.0,,2.0,,3.0,,,,,,
Old Broad Street,608.0,87.75,695.75,51.5156056,-0.0842214,POINT (-0.0842214 51.5156056),E01032739,City of London 001F,60,2,0,0,11,19,9,60,60,,,,,53,,,,,,,,,,37,,,,,,,,,,1,,,,,,32,,,,,0,,,2,,,,,,,,,,,,4,,2,12,,4,26,,,,,6,,,,60,,,12,,,12,,0,,,12,22,,,,10,60,,8,,0,6.0,,1.0,,,,1.0,,,,,,
Old Compton Street,425.375,63.125,488.5,51.5131683,-0.1313185,POINT (-0.1313185 51.5131683),E01004763,Westminster 013B,60,1,1,2,60,23,33,50,60,,,,,35,,,,,,,,,,1,,,,,,,,,,14,,,,,,25,,,,,0,,,6,,,,,,,,,,,,27,,10,54,,8,38,,,,,3,,,,60,,,20,,,19,,0,,,6,25,,,,7,39,,5,,0,18.0,1.0,5.0,,,,1.0,1.0,,1.0,,,
Old Street,1948.125,223.125,2169.0,51.5255233,-0.0886259,POINT (-0.0886259 51.5255233),E01002704,Islington 023D,60,3,0,0,28,19,2,19,56,,,,,35,,,,,,,,,,4,,,,,,,,,,1,,,,,,16,,,,,0,,,11,,,,,,,,,,,,6,,3,9,,9,28,,,,,4,,,,60,,,16,,,8,,0,,,5,17,,,,1,39,,4,,0,14.0,6.0,12.0,1.0,2.0,,1.0,1.0,,,,,
Pakenham Street,566.5,91.875,658.375,51.5259687,-0.11452,POINT (-0.11452 51.5259687),E01000936,Camden 024A,27,1,0,0,16,14,8,12,26,,,,,39,,,,,,,,,,4,,,,,,,,,,2,,,,,,7,,,,,4,,,6,,,,,,,,,,,,2,,5,3,,11,27,,,,,2,,,,60,,,19,,,5,,0,,,6,16,,,,8,53,,6,,0,6.0,,33.0,,,,,,,,,,
Pall Mall,436.875,94.125,531.0,51.5066838,-0.1340046,POINT (-0.1340046 51.5066838),E01004736,Westminster 018C,38,2,1,0,60,13,17,34,52,,,,,25,,,,,,,,,,1,,,,,,,,,,18,,,,,,13,,,,,0,,,0,,,,,,,,,,,,12,,9,31,,13,20,,,,,4,,,,60,,,11,,,10,,0,,,6,13,,,,5,35,,3,,0,,,,,,,,,,,,,
Paul Street,1374.75,127.625,1502.375,51.523987,-0.0842017,POINT (-0.0842017 51.523987),E01033708,Hackney 027G,58,2,1,0,35,16,5,31,60,,,,,57,,,,,,,,,,4,,,,,,,,,,1,,,,,,24,,,,,0,,,8,,,,,,,,,,,,5,,5,10,,7,31,,,,,7,,,,60,,,15,,,12,,0,,,5,20,,,,6,52,,4,,0,,,,,,,,,,,,,
Petty France,94.25,22.625,116.875,51.499465,-0.1360568,POINT (-0.1360568 51.499465),E01004731,Westminster 020A,8,1,0,0,5,9,8,13,19,,,,,32,,,,,,,,,,5,,,,,,,,,,9,,,,,,10,,,,,0,,,4,,,,,,,,,,,,3,,5,1,,10,16,,,,,3,,,,59,,,13,,,7,,0,,,4,12,,,,2,38,,1,,0,3.0,,2.0,,,,1.0,,,,,,
Piccadilly,579.625,127.875,707.5,51.509998,-0.1350018,POINT (-0.1350018 51.509998),E01033595,Westminster 013E,52,3,1,1,60,17,30,47,40,,,,,31,,,,,,,,,,0,,,,,,,,,,18,,,,,,20,,,,,0,,,4,,,,,,,,,,,,18,,7,54,,15,34,,,,,4,,,,60,,,17,,,13,,0,,,7,24,,,,5,35,,4,,0,,,,,,,,,,,,,
